Total images: 7049
Detected images: 6994
Not detected images: 55
Average accuracy: 98.99213611667143%
image_index,detected,accuracy
0,True,1.0
1,True,1.0
2,True,1.0
3,True,1.0
4,True,1.0
5,True,0.9666666666666667
6,True,1.0
7,True,0.9666666666666667
8,True,1.0
9,True,1.0
10,True,1.0
11,True,1.0
12,True,1.0
13,True,1.0
14,True,1.0
15,True,1.0
16,True,1.0
17,True,1.0
18,True,0.9666666666666667
19,True,0.9666666666666667
20,True,1.0
21,True,1.0
22,True,1.0
23,True,1.0
24,True,1.0
25,True,1.0
26,True,1.0
27,True,1.0
28,True,1.0
29,True,0.9666666666666667
30,True,1.0
31,True,1.0
32,True,0.9666666666666667
33,True,1.0
34,True,1.0
35,True,1.0
36,True,1.0
37,True,1.0
38,True,1.0
39,True,1.0
40,True,1.0
41,True,1.0
42,True,1.0
43,True,1.0
44,True,1.0
45,True,1.0
46,True,1.0
47,True,1.0
48,True,1.0
49,True,1.0
50,True,1.0
51,True,1.0
52,True,1.0
53,True,1.0
54,True,1.0
55,True,1.0
56,True,1.0
57,True,1.0
58,True,1.0
59,True,1.0
60,True,1.0
61,True,1.0
62,True,1.0
63,True,1.0
64,True,1.0
65,True,1.0
66,True,0.9666666666666667
67,True,0.9666666666666667
68,True,1.0
69,True,1.0
70,True,1.0
71,True,1.0
72,True,1.0
73,True,0.9666666666666667
74,True,1.0
75,True,1.0
76,True,1.0
77,True,0.9666666666666667
78,True,1.0
79,True,1.0
80,True,0.9666666666666667
81,True,1.0
82,True,1.0
83,True,1.0
84,True,1.0
85,True,1.0
86,True,1.0
87,True,1.0
88,True,1.0
89,True,1.0
90,True,1.0
91,True,0.9666666666666667
92,True,1.0
93,True,1.0
94,True,1.0
95,True,1.0
96,True,1.0
97,True,1.0
98,True,0.9666666666666667
99,True,1.0
100,True,1.0
101,True,1.0
102,True,1.0
103,True,1.0
104,True,1.0
105,True,1.0
106,True,1.0
107,True,1.0
108,True,1.0
109,True,1.0
110,True,1.0
111,True,1.0
112,True,0.9666666666666667
113,True,1.0
114,True,1.0
115,True,1.0
116,True,1.0
117,True,1.0
118,True,1.0
119,True,1.0
120,True,1.0
121,True,0.9666666666666667
122,True,1.0
123,True,1.0
124,True,1.0
125,True,0.9666666666666667
126,True,1.0
127,True,1.0
128,True,1.0
129,True,1.0
130,True,1.0
131,True,1.0
132,True,1.0
133,True,1.0
134,True,1.0
135,True,1.0
136,True,1.0
137,True,1.0
138,True,1.0
139,True,1.0
140,True,0.9666666666666667
141,True,1.0
142,True,1.0
143,True,1.0
144,True,1.0
145,True,0.9666666666666667
146,True,1.0
147,True,1.0
148,True,1.0
149,True,1.0
150,True,1.0
151,True,1.0
152,True,0.9666666666666667
153,True,1.0
154,True,1.0
155,True,1.0
156,True,1.0
157,True,1.0
158,True,1.0
159,True,1.0
160,True,1.0
161,True,0.9666666666666667
162,True,1.0
163,True,1.0
164,True,1.0
165,True,1.0
166,True,1.0
167,True,1.0
168,True,1.0
169,True,1.0
170,True,1.0
171,True,1.0
172,True,1.0
173,True,1.0
174,True,1.0
175,True,1.0
176,True,1.0
177,True,1.0
178,True,1.0
179,True,1.0
180,True,1.0
181,True,1.0
182,True,1.0
183,True,1.0
184,True,1.0
185,True,1.0
